Workout #,Date,Workout Name,Duration (sec),Exercise Name,Set Order,Weight (kg),Reps,RPE,Distance (meters),Seconds,Notes,Workout Notes
1,2021-09-20 09:24:29,Upper week 1,3079,Squat (Barbell),W,43.09127515,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Squat (Barbell),W,52.16312255,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Squat (Barbell),1,61.23496995,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Squat (Barbell),2,61.23496995,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Squat (Barbell),3,61.23496995,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Squat (Barbell),F,61.23496995,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Stiff Leg Deadlift (Barbell),W,43.09127515,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Stiff Leg Deadlift (Barbell),W,52.16312255,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Stiff Leg Deadlift (Barbell),1,61.23496995,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Stiff Leg Deadlift (Barbell),2,61.23496995,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Stiff Leg Deadlift (Barbell),3,61.23496995,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Stiff Leg Deadlift (Barbell),F,61.23496995,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Lunge (Barbell),1,34.01942775,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Lunge (Barbell),2,34.01942775,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Lunge (Barbell),D,34.01942775,10,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Seated Leg Curl (Machine),1,29.48350405,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Seated Leg Curl (Machine),2,29.48350405,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Seated Leg Curl (Machine),3,29.48350405,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Leg Extension (Machine),1,18.1436948,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Leg Extension (Machine),2,18.1436948,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Seated Calf Raise (Machine),1,68.0388555,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Seated Calf Raise (Machine),2,68.0388555,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Seated Calf Raise (Machine),D,68.0388555,12,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Seated Calf Raise (Machine),D,49.8951607,15,,,,,
1,2021-09-20 09:24:29,Upper week 1,3079,Seated Calf Raise (Machine),D,31.7514659,20,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Bench Press (Barbell),W,43.09127515,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Bench Press (Barbell),W,52.16312255,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Bench Press (Barbell),1,61.23496995,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Bench Press (Barbell),2,61.23496995,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Bench Press (Barbell),3,61.23496995,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Bench Press (Barbell),F,61.23496995,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Bent Over Row (Barbell),1,61.23496995,11,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Strict Military Press (Barbell),W,38.55535145,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Strict Military Press (Barbell),1,43.09127515,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Strict Military Press (Barbell),2,43.09127515,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Strict Military Press (Barbell),3,43.09127515,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Chest Fly,1,52.16312255,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Chest Fly,2,52.16312255,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Chest Fly,F,52.16312255,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Triceps Pushdown (Cable - Straight Bar),1,14.74175203,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Triceps Pushdown (Cable - Straight Bar),2,14.74175203,10,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Triceps Pushdown (Cable - Straight Bar),D,14.74175203,15,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Triceps Pushdown (Cable - Straight Bar),D,10.20582833,12,,,,,
2,2021-09-21 14:03:21,Upper body  1,3061,Triceps Pushdown (Cable - Straight Bar),D,5.669904625,12,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Cycling,1,,,,4667.086,600,,
3,2021-09-23 12:11:23,Morning Workout,2883,Deadlift (Barbell),W,61.23496995,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Deadlift (Barbell),1,70.30681735,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Deadlift (Barbell),2,70.30681735,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Deadlift (Barbell),3,70.30681735,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Deadlift (Barbell),4,70.30681735,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Hip Thrust (Barbell),1,56.69904625,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Hip Thrust (Barbell),2,56.69904625,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Hip Thrust (Barbell),3,56.69904625,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Hip Thrust (Barbell),4,56.69904625,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Leg Press,1,34.01942775,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Leg Press,2,34.01942775,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Leg Press,3,34.01942775,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Glute Kickback (Machine),1,13.6077711,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Glute Kickback (Machine),2,13.6077711,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Leg Extension (Machine),1,20.41165665,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Leg Extension (Machine),2,20.41165665,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Leg Extension (Machine),3,20.41165665,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Hip Abductor (Machine),1,45.359237,10,,,,,
3,2021-09-23 12:11:23,Morning Workout,2883,Hip Abductor (Machine),2,45.359237,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Chin Up (Assisted),1,54.4310844,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Chin Up (Assisted),2,54.4310844,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Chin Up (Assisted),3,54.4310844,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Chin Up (Assisted),4,54.4310844,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Chest Dip (Assisted),1,54.4310844,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Chest Dip (Assisted),2,54.4310844,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Chest Dip (Assisted),3,54.4310844,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Chest Dip (Assisted),4,54.4310844,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bent Over Row (Barbell),1,61.23496995,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bent Over Row (Barbell),2,61.23496995,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bent Over Row (Barbell),3,61.23496995,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bent Over Row (Barbell),4,61.23496995,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Arnold Press (Dumbbell),1,11.33980925,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Arnold Press (Dumbbell),2,11.33980925,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Arnold Press (Dumbbell),3,11.33980925,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Iso-Lateral Chest Press (Machine),1,20.41165665,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Iso-Lateral Chest Press (Machine),2,20.41165665,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Iso-Lateral Chest Press (Machine),F,20.41165665,15,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bicep Curl (Cable),1,36.2873896,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bicep Curl (Cable),2,36.2873896,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bicep Curl (Cable),D,36.2873896,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bicep Curl (Cable),D,27.2155422,10,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Bicep Curl (Cable),D,18.1436948,12,,,,,
4,2021-09-24 12:20:50,Upper workout 2,3158,Walking,1,,,,659.8294,600,,
5,2021-09-27 12:12:22,Lower body warm up,986,squat & extend ,1,,3,,,,,
5,2021-09-27 12:12:22,Lower body warm up,986,hamstring stretch ,Note,,,,,,Dynamic walking hamstring stretch. Keep neutral spine ,
5,2021-09-27 12:12:22,Lower body warm up,986,hamstring stretch ,1,,10,,,,,
5,2021-09-27 12:12:22,Lower body warm up,986,deep lunges ,1,,10,,,,,
5,2021-09-27 12:12:22,Lower body warm up,986,piegion pose movement ,1,,5,,,,,
5,2021-09-27 12:12:22,Lower body warm up,986,Cycling,1,,,,0,60,,
5,2021-09-27 12:12:22,Lower body warm up,986,Cycling,2,,,,0,60,,
5,2021-09-27 12:12:22,Lower body warm up,986,Cycling,3,,,,0,60,,
6,2021-09-27 12:29:28,Lower body 1,2813,Squat (Barbell),W,43.09127515,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Squat (Barbell),W,52.16312255,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Squat (Barbell),1,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Squat (Barbell),2,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Squat (Barbell),3,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Squat (Barbell),F,61.23496995,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Stiff Leg Deadlift (Barbell),W,43.09127515,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Stiff Leg Deadlift (Barbell),W,52.16312255,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Stiff Leg Deadlift (Barbell),1,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Stiff Leg Deadlift (Barbell),2,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Stiff Leg Deadlift (Barbell),3,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Stiff Leg Deadlift (Barbell),F,61.23496995,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Standing Calf Raise (Barbell),1,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Standing Calf Raise (Barbell),2,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Standing Calf Raise (Barbell),3,61.23496995,11,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Standing Calf Raise (Barbell),F,61.23496995,15,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Seated Leg Curl (Machine),1,45.359237,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Seated Leg Curl (Machine),2,45.359237,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Seated Leg Curl (Machine),3,45.359237,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Leg Extension (Machine),1,20.41165665,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Leg Extension (Machine),2,20.41165665,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Leg Extension (Machine),3,20.41165665,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Cable Crunch,D,49.8951607,15,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Cable Crunch,D,36.2873896,12,,,,,
6,2021-09-27 12:29:28,Lower body 1,2813,Cable Crunch,D,26.30835746,15,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Rowing (Machine),1,,,,0,120,,
7,2021-09-28 14:17:54,Upper body  1,2874,Rowing (Machine),2,,,,0,120,,
7,2021-09-28 14:17:54,Upper body  1,2874,Rowing (Machine),3,,,,0,120,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bench Press (Barbell),W,43.09127515,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bench Press (Barbell),W,52.16312255,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bench Press (Barbell),1,61.23496995,10,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bench Press (Barbell),2,61.23496995,10,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bench Press (Barbell),3,61.23496995,10,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bench Press (Barbell),F,61.23496995,12,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bent Over Row (Barbell),W,61.23496995,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bent Over Row (Barbell),W,61.23496995,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bent Over Row (Barbell),1,61.23496995,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bent Over Row (Barbell),2,61.23496995,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bent Over Row (Barbell),3,61.23496995,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Bent Over Row (Barbell),F,61.23496995,12,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Strict Military Press (Barbell),W,38.55535145,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Strict Military Press (Barbell),1,43.09127515,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Strict Military Press (Barbell),2,43.09127515,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Strict Military Press (Barbell),3,43.09127515,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Chest Fly,1,58.9670081,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Chest Fly,2,58.9670081,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Chest Fly,F,58.9670081,15,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Lateral Raise (Dumbbell),1,4.5359237,15,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Lateral Raise (Dumbbell),2,6.80388555,15,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Triceps Pushdown (Cable - Straight Bar),1,31.7514659,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Triceps Pushdown (Cable - Straight Bar),2,31.7514659,11,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Triceps Pushdown (Cable - Straight Bar),D,31.7514659,15,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Triceps Pushdown (Cable - Straight Bar),D,22.6796185,13,,,,,
7,2021-09-28 14:17:54,Upper body  1,2874,Triceps Pushdown (Cable - Straight Bar),D,13.6077711,12,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Hack Squat,1,61.23496995,12,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Hack Squat,2,61.23496995,12,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Hack Squat,3,61.23496995,12,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Hack Squat,4,61.23496995,12,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Leg Press,1,102.0582833,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Leg Press,2,102.0582833,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Leg Press,D,102.0582833,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Leg Press,D,92.98643585,20,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Leg Press,D,83.91458845,20,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Seated Leg Curl (Machine),1,45.359237,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Seated Leg Curl (Machine),2,45.359237,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Seated Leg Curl (Machine),3,45.359237,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Leg Extension (Machine),1,20.41165665,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Leg Extension (Machine),2,20.41165665,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Leg Extension (Machine),3,20.41165665,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Seated Calf Raise (Plate Loaded),1,43.09127515,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Seated Calf Raise (Plate Loaded),2,43.09127515,15,,,,,
8,2021-10-11 10:42:57,Leg Work out,2647,Seated Calf Raise (Plate Loaded),3,43.09127515,15,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Chin Up (Assisted),1,36.2873896,8,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Chin Up (Assisted),2,36.2873896,6,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Incline Bench Press (Dumbbell),1,20.41165665,10,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Incline Bench Press (Dumbbell),2,20.41165665,10,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Incline Bench Press (Dumbbell),3,20.41165665,10,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Bent Over One Arm Row (Dumbbell),1,24.94758035,10,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Bent Over One Arm Row (Dumbbell),2,24.94758035,10,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Bent Over One Arm Row (Dumbbell),3,24.94758035,10,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Bench Press (Smith Machine),1,70.30681735,12,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Bench Press (Smith Machine),2,70.30681735,12,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Bench Press (Smith Machine),3,70.30681735,12,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Chin Up (Assisted),1,45.359237,8,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Chin Up (Assisted),2,45.359237,7,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Chest Fly,1,52.16312255,15,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Chest Fly,2,52.16312255,15,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Chest Fly,3,52.16312255,15,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Seated Row (Machine),1,45.359237,15,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Seated Row (Machine),2,45.359237,15,,,,,
9,2021-10-12 10:36:26,Chest and back,2461,Seated Row (Machine),3,45.359237,15,,,,,
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Overhead Press (Smith Machine),1,43.09127515,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Overhead Press (Smith Machine),2,43.09127515,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Overhead Press (Smith Machine),3,43.09127515,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Overhead Press (Smith Machine),D,43.09127515,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Overhead Press (Smith Machine),D,38.55535145,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Overhead Press (Smith Machine),D,34.01942775,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Lateral Raise (Machine),1,36.2873896,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Lateral Raise (Machine),2,36.2873896,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Lateral Raise (Machine),D,36.2873896,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Lateral Raise (Machine),D,22.6796185,10,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Lateral Raise (Machine),D,13.6077711,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Reverse Fly (Cable),1,5.669904625,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Reverse Fly (Cable),2,5.669904625,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Reverse Fly (Cable),3,5.669904625,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Bicep Curl (Cable),1,7.937866475,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Bicep Curl (Cable),2,7.937866475,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Bicep Curl (Cable),3,7.937866475,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Triceps Extension,D,36.2873896,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Triceps Extension,D,27.2155422,10,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Triceps Extension,D,18.1436948,12,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Hammer Curl (Cable),1,27.2155422,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Hammer Curl (Cable),2,27.2155422,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Hammer Curl (Cable),3,27.2155422,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Skullcrusher (Barbell),1,13.6077711,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Skullcrusher (Barbell),2,13.6077711,15,,,,,Shoulders and Arms
10,2021-10-13 09:59:18,Shoulders and Arms,5179,Skullcrusher (Barbell),3,13.6077711,15,,,,,Shoulders and Arms
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Bench Press (Dumbbell),1,22.6796185,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Bench Press (Dumbbell),2,22.6796185,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Bench Press (Dumbbell),3,22.6796185,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Lat Pulldown (Cable),1,45.359237,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Lat Pulldown (Cable),2,52.16312255,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Lat Pulldown (Cable),D,52.16312255,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Lat Pulldown (Cable),D,38.55535145,10,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Lat Pulldown (Cable),D,24.94758035,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Incline Chest Press (Machine),1,20.41165665,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Incline Chest Press (Machine),2,20.41165665,15,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Incline Chest Press (Machine),D,20.41165665,15,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Incline Chest Press (Machine),D,18.1436948,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Incline Chest Press (Machine),D,15.87573295,6,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Seated Row (Cable),1,40.8233133,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Seated Row (Cable),2,40.8233133,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Seated Row (Cable),3,40.8233133,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Bicep Curl (Cable),1,27.2155422,13,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Bicep Curl (Cable),2,31.7514659,15,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,Bicep Curl (Cable),3,31.7514659,15,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,spider curl,1,9.0718474,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,spider curl,2,9.0718474,12,,,,,
11,2021-10-14 09:33:02,Chest/Back/Biceps,3638,spider curl,3,9.0718474,12,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Seated Overhead Press (Dumbbell),1,11.33980925,12,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Seated Overhead Press (Dumbbell),2,13.6077711,12,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Hack Squat,1,70.30681735,15,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Hack Squat,2,70.30681735,15,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Hack Squat,D,61.23496995,15,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Hack Squat,D,52.16312255,20,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Hack Squat,D,43.09127515,16,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Lateral Raise (Cable),1,9.0718474,12,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Lateral Raise (Cable),2,9.0718474,12,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Lateral Raise (Cable),D,6.80388555,15,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Lunge (Barbell),1,9.0718474,10,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Lunge (Barbell),2,9.0718474,10,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Lunge (Barbell),3,9.0718474,10,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Romanian Deadlift (Barbell),1,61.23496995,12,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Romanian Deadlift (Barbell),2,61.23496995,12,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Romanian Deadlift (Barbell),3,61.23496995,12,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Triceps Extension,1,6.80388555,80,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Triceps Extension,2,5.44310844,80,,,,,
12,2021-10-15 08:30:53,Shoulders/Legs/Triceps,2790,Triceps Extension,3,4.5359237,80,,,,,
13,2021-10-18 08:23:27,Leg Work out,10864,Hack Squat,1,70.30681735,12,,,,,
13,2021-10-18 08:23:27,Leg Work out,10864,Hack Squat,2,70.30681735,12,,,,,
13,2021-10-18 08:23:27,Leg Work out,10864,Hack Squat,3,70.30681735,12,,,,,
